NoiseLevel,QBER,KeyRate,DetectedEavesdropper
0.000000,0.000000,0.425000,0
0.020000,0.000000,0.455000,0
0.050000,0.055556,0.360000,0
0.100000,0.052632,0.400000,0
0.150000,0.111111,0.380000,1
0.200000,0.235294,0.350000,1
0.250000,0.157895,0.380000,1
0.300000,0.428571,0.425000,1
0.350000,0.250000,0.420000,1
0.400000,0.100000,0.415000,0
0.450000,0.150000,0.400000,1
0.500000,0.210526,0.385000,1
0.000000,0.000000,0.425000,0
0.020000,0.000000,0.455000,0
0.050000,0.000000,0.360000,0
0.100000,0.000000,0.400000,0
0.150000,0.055556,0.380000,0
0.200000,0.117647,0.350000,1
0.250000,0.105263,0.380000,0
0.300000,0.238095,0.425000,1
0.350000,0.150000,0.420000,1
0.400000,0.250000,0.415000,1
0.450000,0.300000,0.400000,1
0.500000,0.210526,0.385000,1
